run_id,sample_id,target_risk_level,traffic_manager_seed,repeat_round,source,status,acceptance_status,acceptance_failures,runtime_verified,observed_risk_level,risk_score,target_match,collision_count,minimum_ttc_seconds,minimum_lead_gap_m,minimum_pedestrian_distance_m,sensor_status,server_status,route_status,route_ego_on_route_rate,route_lead_on_route_rate,route_both_on_route_rate,route_maximum_ego_deviation_m,route_maximum_lead_deviation_m,route_verified,rgb_frames,run_dir,metadata_path,generator,group_index,part_index,run_order
cvae_high_20260813_0033__tm_20260822__generator_compare_v1,cvae_high_20260813_0033,high,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,45.242,False,0,1.175,4.669,5.229,completed,healthy,completed,1.0,1.0,1.0,0.992,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0033__tm_20260822__generator_compare_v1\20260814_204918,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0033__tm_20260822__generator_compare_v1\20260814_204918\metadata.json,cvae,7,21,84
cvae_high_20260813_0033__tm_20260823__generator_compare_v1,cvae_high_20260813_0033,high,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,45.98,False,0,1.177,4.318,5.229,completed,healthy,completed,1.0,1.0,1.0,0.993,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0033__tm_20260823__generator_compare_v1\20260814_201141,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0033__tm_20260823__generator_compare_v1\20260814_201141\metadata.json,cvae,2,6,22
cvae_high_20260813_0043__tm_20260821__generator_compare_v1,cvae_high_20260813_0043,high,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,40.734,False,0,1.347,4.382,9.548,completed,healthy,completed,1.0,1.0,1.0,0.992,0.999,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0043__tm_20260821__generator_compare_v1\20260814_203916,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0043__tm_20260821__generator_compare_v1\20260814_203916\metadata.json,cvae,6,17,67
cvae_high_20260813_0043__tm_20260822__generator_compare_v1,cvae_high_20260813_0043,high,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,40.013,False,0,1.352,4.702,9.55,completed,healthy,completed,1.0,1.0,1.0,0.992,0.999,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0043__tm_20260822__generator_compare_v1\20260814_200301,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0043__tm_20260822__generator_compare_v1\20260814_200301\metadata.json,cvae,1,2,8
cvae_high_20260813_0043__tm_20260823__generator_compare_v1,cvae_high_20260813_0043,high,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,41.563,False,0,1.344,4.005,9.545,completed,healthy,completed,1.0,1.0,1.0,0.997,1.0,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0043__tm_20260823__generator_compare_v1\20260814_201458,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0043__tm_20260823__generator_compare_v1\20260814_201458\metadata.json,cvae,3,7,27
cvae_high_20260813_0067__tm_20260821__generator_compare_v1,cvae_high_20260813_0067,high,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,42.754,False,0,1.182,4.504,9.069,completed,healthy,completed,1.0,1.0,1.0,0.997,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0067__tm_20260821__generator_compare_v1\20260814_205354,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0067__tm_20260821__generator_compare_v1\20260814_205354\metadata.json,cvae,8,23,91
cvae_high_20260813_0067__tm_20260822__generator_compare_v1,cvae_high_20260813_0067,high,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,42.711,False,0,1.182,4.524,9.068,completed,healthy,completed,1.0,1.0,1.0,0.995,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0067__tm_20260822__generator_compare_v1\20260814_202437,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0067__tm_20260822__generator_compare_v1\20260814_202437\metadata.json,cvae,4,11,43
cvae_high_20260813_0067__tm_20260823__generator_compare_v1,cvae_high_20260813_0067,high,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,42.755,False,0,1.181,4.507,9.068,completed,healthy,completed,1.0,1.0,1.0,0.997,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0067__tm_20260823__generator_compare_v1\20260814_202911,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0067__tm_20260823__generator_compare_v1\20260814_202911\metadata.json,cvae,5,13,50
cvae_low_20260813_0001__tm_20260821__generator_compare_v1,cvae_low_20260813_0001,low,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,26.567,False,0,1.529,3.912,10.675,completed,healthy,completed,1.0,1.0,1.0,1.005,1.04,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0001__tm_20260821__generator_compare_v1\20260814_202004,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0001__tm_20260821__generator_compare_v1\20260814_202004\metadata.json,cvae,3,9,36
cvae_low_20260813_0001__tm_20260822__generator_compare_v1,cvae_low_20260813_0001,low,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,low,24.256,True,0,1.659,4.557,10.676,completed,healthy,completed,1.0,1.0,1.0,1.0,1.074,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0001__tm_20260822__generator_compare_v1\20260814_203602,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0001__tm_20260822__generator_compare_v1\20260814_203602\metadata.json,cvae,6,16,61
cvae_low_20260813_0001__tm_20260823__generator_compare_v1,cvae_low_20260813_0001,low,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,low,24.8,True,0,1.657,4.31,10.678,completed,healthy,completed,1.0,1.0,1.0,1.015,1.073,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0001__tm_20260823__generator_compare_v1\20260814_195945,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0001__tm_20260823__generator_compare_v1\20260814_195945\metadata.json,cvae,1,1,2
cvae_low_20260813_0034__tm_20260821__generator_compare_v1,cvae_low_20260813_0034,low,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,low,24.002,True,0,1.706,4.448,11.283,completed,healthy,completed,1.0,1.0,1.0,0.997,0.996,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0034__tm_20260821__generator_compare_v1\20260814_203345,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0034__tm_20260821__generator_compare_v1\20260814_203345\metadata.json,cvae,5,15,58
cvae_low_20260813_0034__tm_20260822__generator_compare_v1,cvae_low_20260813_0034,low,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,low,24.293,True,0,1.688,4.372,11.283,completed,healthy,completed,1.0,1.0,1.0,0.992,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0034__tm_20260822__generator_compare_v1\20260814_205039,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0034__tm_20260822__generator_compare_v1\20260814_205039\metadata.json,cvae,8,22,85
cvae_low_20260813_0034__tm_20260823__generator_compare_v1,cvae_low_20260813_0034,low,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,low,24.946,True,0,1.693,4.051,11.283,completed,healthy,completed,1.0,1.0,1.0,0.992,1.051,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0034__tm_20260823__generator_compare_v1\20260814_202221,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0034__tm_20260823__generator_compare_v1\20260814_202221\metadata.json,cvae,4,10,39
cvae_low_20260813_0115__tm_20260821__generator_compare_v1,cvae_low_20260813_0115,low,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,low,23.393,True,0,1.803,4.437,11.056,completed,healthy,completed,1.0,1.0,1.0,1.035,1.063,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0115__tm_20260821__generator_compare_v1\20260814_201021,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0115__tm_20260821__generator_compare_v1\20260814_201021\metadata.json,cvae,2,5,20
cvae_low_20260813_0115__tm_20260822__generator_compare_v1,cvae_low_20260813_0115,low,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,low,24.033,True,0,1.672,4.575,11.054,completed,healthy,completed,1.0,1.0,1.0,1.033,1.069,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0115__tm_20260822__generator_compare_v1\20260814_210359,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0115__tm_20260822__generator_compare_v1\20260814_210359\metadata.json,cvae,9,27,108
cvae_low_20260813_0115__tm_20260823__generator_compare_v1,cvae_low_20260813_0115,low,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,low,23.859,True,0,1.694,4.583,11.056,completed,healthy,completed,1.0,1.0,1.0,1.003,1.061,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0115__tm_20260823__generator_compare_v1\20260814_204632,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0115__tm_20260823__generator_compare_v1\20260814_204632\metadata.json,cvae,7,20,79
cvae_medium_20260813_0061__tm_20260821__generator_compare_v1,cvae_medium_20260813_0061,medium,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,25.469,True,0,1.778,4.61,8.784,completed,healthy,completed,1.0,1.0,1.0,0.995,0.995,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0061__tm_20260821__generator_compare_v1\20260814_200419,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0061__tm_20260821__generator_compare_v1\20260814_200419\metadata.json,cvae,1,3,10
cvae_medium_20260813_0061__tm_20260822__generator_compare_v1,cvae_medium_20260813_0061,medium,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,26.8,True,0,1.694,4.269,8.787,completed,healthy,completed,1.0,1.0,1.0,1.0,0.995,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0061__tm_20260822__generator_compare_v1\20260814_201716,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0061__tm_20260822__generator_compare_v1\20260814_201716\metadata.json,cvae,3,8,31
cvae_medium_20260813_0061__tm_20260823__generator_compare_v1,cvae_medium_20260813_0061,medium,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,27.295,True,0,1.592,4.378,8.784,completed,healthy,completed,1.0,1.0,1.0,0.999,0.999,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0061__tm_20260823__generator_compare_v1\20260814_204103,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0061__tm_20260823__generator_compare_v1\20260814_204103\metadata.json,cvae,6,18,70
cvae_medium_20260813_0082__tm_20260821__generator_compare_v1,cvae_medium_20260813_0082,medium,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,29.043,True,0,1.641,4.047,9.261,completed,healthy,completed,1.0,1.0,1.0,1.0,0.999,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0082__tm_20260821__generator_compare_v1\20260814_202653,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0082__tm_20260821__generator_compare_v1\20260814_202653\metadata.json,cvae,4,12,47
cvae_medium_20260813_0082__tm_20260822__generator_compare_v1,cvae_medium_20260813_0082,medium,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,27.059,True,0,1.706,4.756,9.26,completed,healthy,completed,1.0,1.0,1.0,0.994,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0082__tm_20260822__generator_compare_v1\20260814_203058,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0082__tm_20260822__generator_compare_v1\20260814_203058\metadata.json,cvae,5,14,53
cvae_medium_20260813_0082__tm_20260823__generator_compare_v1,cvae_medium_20260813_0082,medium,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,29.166,True,0,1.502,4.453,9.263,completed,healthy,completed,1.0,1.0,1.0,1.0,0.997,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0082__tm_20260823__generator_compare_v1\20260814_205610,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0082__tm_20260823__generator_compare_v1\20260814_205610\metadata.json,cvae,8,24,95
cvae_medium_20260813_0103__tm_20260821__generator_compare_v1,cvae_medium_20260813_0103,medium,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,27.319,True,0,1.728,4.417,10.234,completed,healthy,completed,1.0,1.0,1.0,0.998,0.995,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0103__tm_20260821__generator_compare_v1\20260814_204319,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0103__tm_20260821__generator_compare_v1\20260814_204319\metadata.json,cvae,7,19,73
cvae_medium_20260813_0103__tm_20260822__generator_compare_v1,cvae_medium_20260813_0103,medium,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,27.667,True,0,1.684,4.401,10.227,completed,healthy,completed,1.0,1.0,1.0,0.999,0.995,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0103__tm_20260822__generator_compare_v1\20260814_200735,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0103__tm_20260822__generator_compare_v1\20260814_200735\metadata.json,cvae,2,4,15
cvae_medium_20260813_0103__tm_20260823__generator_compare_v1,cvae_medium_20260813_0103,medium,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,27.611,True,0,1.688,4.414,10.23,completed,healthy,completed,1.0,1.0,1.0,1.0,0.995,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0103__tm_20260823__generator_compare_v1\20260814_210142,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0103__tm_20260823__generator_compare_v1\20260814_210142\metadata.json,cvae,9,26,104
gmm_critical_20260813_0004__tm_20260821__generator_compare_v1,gmm_critical_20260813_0004,critical,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,critical,85.421,True,6,1.135,4.59,1.59,completed,healthy,completed,1.0,1.0,1.0,1.0,1.0,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0004__tm_20260821__generator_compare_v1\20260814_204034,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0004__tm_20260821__generator_compare_v1\20260814_204034\metadata.json,gmm,6,18,69
gmm_critical_20260813_0004__tm_20260822__generator_compare_v1,gmm_critical_20260813_0004,critical,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,critical,85.416,True,6,1.023,4.967,1.589,completed,healthy,completed,1.0,1.0,1.0,0.998,1.0,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0004__tm_20260822__generator_compare_v1\20260814_200350,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0004__tm_20260822__generator_compare_v1\20260814_200350\metadata.json,gmm,1,3,9
gmm_critical_20260813_0004__tm_20260823__generator_compare_v1,gmm_critical_20260813_0004,critical,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,critical,85.44,True,6,1.022,4.959,1.589,completed,healthy,completed,1.0,1.0,1.0,0.996,1.0,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0004__tm_20260823__generator_compare_v1\20260814_201646,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0004__tm_20260823__generator_compare_v1\20260814_201646\metadata.json,gmm,3,8,30
gmm_critical_20260813_0067__tm_20260821__generator_compare_v1,gmm_critical_20260813_0067,critical,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,critical,79.315,True,1,1.491,4.653,2.679,completed,healthy,completed,1.0,1.0,1.0,0.992,0.999,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0067__tm_20260821__generator_compare_v1\20260814_210044,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0067__tm_20260821__generator_compare_v1\20260814_210044\metadata.json,gmm,9,26,102
gmm_critical_20260813_0067__tm_20260822__generator_compare_v1,gmm_critical_20260813_0067,critical,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,critical,79.576,True,1,1.461,4.63,2.68,completed,healthy,completed,1.0,1.0,1.0,0.992,0.999,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0067__tm_20260822__generator_compare_v1\20260814_204348,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0067__tm_20260822__generator_compare_v1\20260814_204348\metadata.json,gmm,7,19,74
gmm_critical_20260813_0067__tm_20260823__generator_compare_v1,gmm_critical_20260813_0067,critical,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,critical,79.135,True,1,1.505,4.689,2.68,completed,healthy,completed,1.0,1.0,1.0,0.992,0.999,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0067__tm_20260823__generator_compare_v1\20260814_200637,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0067__tm_20260823__generator_compare_v1\20260814_200637\metadata.json,gmm,2,4,13
gmm_critical_20260813_0072__tm_20260821__generator_compare_v1,gmm_critical_20260813_0072,critical,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,46.402,False,0,1.705,4.73,5.567,completed,healthy,completed,1.0,1.0,1.0,0.993,0.997,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0072__tm_20260821__generator_compare_v1\20260814_205639,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0072__tm_20260821__generator_compare_v1\20260814_205639\metadata.json,gmm,8,24,96
gmm_critical_20260813_0072__tm_20260822__generator_compare_v1,gmm_critical_20260813_0072,critical,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,46.563,False,0,1.697,4.715,5.537,completed,healthy,completed,1.0,1.0,1.0,0.992,0.999,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0072__tm_20260822__generator_compare_v1\20260814_202555,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0072__tm_20260822__generator_compare_v1\20260814_202555\metadata.json,gmm,4,12,45
gmm_critical_20260813_0072__tm_20260823__generator_compare_v1,gmm_critical_20260813_0072,critical,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,46.628,False,0,1.694,4.699,5.533,completed,healthy,completed,1.0,1.0,1.0,0.992,0.997,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0072__tm_20260823__generator_compare_v1\20260814_203227,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0072__tm_20260823__generator_compare_v1\20260814_203227\metadata.json,gmm,5,14,56
gmm_high_20260813_0005__tm_20260821__generator_compare_v1,gmm_high_20260813_0005,high,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,44.657,False,0,1.535,4.183,5.236,completed,healthy,completed,1.0,1.0,1.0,0.999,0.995,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0005__tm_20260821__generator_compare_v1\20260814_204534,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0005__tm_20260821__generator_compare_v1\20260814_204534\metadata.json,gmm,7,20,77
gmm_high_20260813_0005__tm_20260822__generator_compare_v1,gmm_high_20260813_0005,high,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,44.818,False,0,1.491,4.258,5.233,completed,healthy,completed,1.0,1.0,1.0,0.992,0.996,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0005__tm_20260822__generator_compare_v1\20260814_200853,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0005__tm_20260822__generator_compare_v1\20260814_200853\metadata.json,gmm,2,5,17
gmm_high_20260813_0005__tm_20260823__generator_compare_v1,gmm_high_20260813_0005,high,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,44.682,False,0,1.54,4.157,5.234,completed,healthy,completed,1.0,1.0,1.0,0.992,0.993,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0005__tm_20260823__generator_compare_v1\20260814_210330,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0005__tm_20260823__generator_compare_v1\20260814_210330\metadata.json,gmm,9,27,107
gmm_high_20260813_0049__tm_20260821__generator_compare_v1,gmm_high_20260813_0049,high,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,44.348,False,0,1.205,4.66,4.233,completed,healthy,completed,1.0,1.0,1.0,0.992,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0049__tm_20260821__generator_compare_v1\20260814_202250,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0049__tm_20260821__generator_compare_v1\20260814_202250\metadata.json,gmm,4,10,40
gmm_high_20260813_0049__tm_20260822__generator_compare_v1,gmm_high_20260813_0049,high,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,43.509,False,0,1.213,4.539,4.667,completed,healthy,completed,1.0,1.0,1.0,0.992,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0049__tm_20260822__generator_compare_v1\20260814_203414,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0049__tm_20260822__generator_compare_v1\20260814_203414\metadata.json,gmm,5,15,59
gmm_high_20260813_0049__tm_20260823__generator_compare_v1,gmm_high_20260813_0049,high,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,44.389,False,0,1.205,4.631,4.242,completed,healthy,completed,1.0,1.0,1.0,0.997,1.0,True,100,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0049__tm_20260823__generator_compare_v1\20260814_205137,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0049__tm_20260823__generator_compare_v1\20260814_205137\metadata.json,gmm,8,22,87
